ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL
53;F13;2018;8;4
53;F13;2018;9;2
53;F13;2018;11;2
53;F13;2019;1;1
53;F13;2019;2;1
53;F13;2019;3;4
53;F13;2019;4;1
53;F13;2019;5;2
53;F13;2019;6;1
53;F13;2019;7;1
53;F13;2019;8;1
53;F13;2019;10;1
53;F13;2019;11;1
53;F13;2019;12;3
53;F13;2020;1;2
53;F13;2020;2;3
53;F13;2020;3;3
53;F13;2020;4;2
53;F13;2020;5;2
53;F13;2020;7;4
53;F13;2020;9;2
53;F13;2020;10;1
53;F13;2020;12;3
53;F13;2021;3;2
53;F13;2021;4;1
53;F13;2021;7;2
53;F13;2021;8;1
53;F13;2021;10;3
53;F13;2021;11;2
53;F13;2021;12;3
53;F13;2022;1;4
53;F13;2022;2;3
53;F13;2022;3;2
53;F13;2022;4;4
53;F13;2022;5;1
53;F13;2022;6;2
53;F13;2022;7;4
53;F13;2022;8;2
53;F13;2022;9;3
53;F13;2022;11;4
53;F13;2022;12;3
53;F14;2018;1;1
53;F14;2018;2;4
53;F14;2018;3;3
53;F14;2018;4;4
53;F14;2018;5;1
53;F14;2018;6;5
53;F14;2018;7;4
53;F14;2018;8;3
53;F14;2018;9;9
53;F14;2018;10;6
53;F14;2018;11;2
53;F14;2018;12;2
53;F14;2019;1;9
53;F14;2019;2;6
53;F14;2019;3;19
53;F14;2019;4;12
53;F14;2019;5;39
53;F14;2019;6;24
53;F14;2019;7;3
53;F14;2019;8;8
53;F14;2019;9;20
53;F14;2019;10;23
53;F14;2019;11;9
53;F14;2019;12;12
53;F14;2020;1;8
53;F14;2020;2;7
53;F14;2020;3;8
53;F14;2020;4;4
53;F14;2020;5;4
53;F14;2020;6;6
53;F14;2020;7;5
53;F14;2020;8;4
53;F14;2020;9;1
53;F14;2020;10;5
53;F14;2020;11;4
53;F14;2020;12;6
53;F14;2021;1;5
53;F14;2021;3;6
53;F14;2021;4;8
53;F14;2021;5;2
53;F14;2021;6;5
53;F14;2021;7;3
53;F14;2021;8;2
53;F14;2021;9;7
53;F14;2021;10;3
53;F14;2021;11;4
53;F14;2021;12;7
53;F14;2022;1;8
53;F14;2022;2;8
53;F14;2022;3;3
53;F14;2022;4;5
53;F14;2022;5;6
53;F14;2022;6;2
53;F14;2022;7;4
53;F14;2022;8;9
53;F14;2022;9;6
53;F14;2022;10;3
53;F14;2022;11;9
53;F14;2022;12;9
53;F15;2018;6;2
53;F15;2018;8;1
53;F15;2018;9;1
53;F15;2018;10;2
53;F15;2018;11;1
53;F15;2019;4;1
53;F15;2019;6;3
53;F15;2019;8;1
53;F15;2019;9;2
53;F15;2019;11;1
53;F15;2019;12;4
53;F15;2020;4;3
53;F15;2020;5;1
53;F15;2020;8;1
53;F15;2020;9;2
53;F15;2021;4;2
53;F15;2021;5;1
53;F15;2021;8;1
53;F15;2021;10;1
53;F15;2022;1;1
53;F15;2022;3;2
53;F15;2022;4;2
53;F15;2022;5;1
53;F15;2022;8;1
53;F15;2022;11;2
53;F16;2018;2;3
53;F16;2018;3;1
53;F16;2018;5;1
53;F16;2018;6;1
53;F16;2018;7;2
53;F16;2018;8;2
53;F16;2018;9;4
53;F16;2018;10;4
53;F16;2018;12;2
53;F16;2019;1;1
53;F16;2019;4;1
53;F16;2019;6;2
53;F16;2019;7;2
53;F16;2019;9;2
53;F16;2019;10;2
53;F16;2019;11;2
53;F16;2019;12;1
53;F16;2020;1;5
53;F16;2020;2;2
53;F16;2020;3;6
53;F16;2020;4;1
53;F16;2020;5;1
53;F16;2020;7;2
53;F16;2020;8;1
53;F16;2020;9;3
53;F16;2020;10;1
53;F16;2020;12;1
53;F16;2021;1;1
53;F16;2021;3;1
53;F16;2021;4;1
53;F16;2021;7;2
53;F16;2021;8;1
53;F16;2022;2;2
53;F16;2022;4;2
53;F16;2022;5;1
53;F16;2022;6;1
53;F16;2022;7;2
53;F16;2022;8;2
53;F16;2022;9;1
53;F16;2022;10;2
53;F16;2022;11;1
