MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
240810.0;02-2013;F10;3
240810.0;03-2013;F10;2
240810.0;04-2013;F10;1
240810.0;05-2013;F10;6
240810.0;06-2013;F10;2
240810.0;07-2013;F10;1
240810.0;09-2013;F10;2
240810.0;10-2013;F10;1
240810.0;12-2013;F10;2
240830.0;01-2013;F10;1
240830.0;02-2013;F10;2
240890.0;09-2013;F10;1
240910.0;09-2013;F10;1
240920.0;12-2013;F10;1
240930.0;11-2013;F10;1
240940.0;02-2013;F10;1
240940.0;03-2013;F10;3
240940.0;04-2013;F10;2
240940.0;06-2013;F10;1
240990.0;07-2013;F10;1
241080.0;10-2013;F10;1
241100.0;03-2013;F10;1
241140.0;10-2013;F10;1
241150.0;04-2013;F10;1
241190.0;02-2013;F10;1
241200.0;01-2013;F10;1
241200.0;07-2013;F10;1
241210.0;07-2013;F10;1
241230.0;03-2013;F10;1
241250.0;12-2013;F10;1
241260.0;01-2013;F10;1
241335.0;07-2013;F10;1
241340.0;04-2013;F10;1
241340.0;07-2013;F10;1
241355.0;06-2013;F10;1
241355.0;12-2013;F10;1
241440.0;04-2013;F10;1
241440.0;11-2013;F10;1
250030.0;04-2013;F10;1
250030.0;08-2013;F10;1
250030.0;10-2013;F10;1
250040.0;04-2013;F10;1
250053.0;08-2013;F10;1
250060.0;10-2013;F10;1
250070.0;04-2013;F10;1
250080.0;03-2013;F10;1
250150.0;05-2013;F10;1
250160.0;06-2013;F10;1
250190.0;07-2013;F10;1
250320.0;01-2013;F19;1
250320.0;03-2013;F10;2
250370.0;03-2013;F10;2
250370.0;08-2013;F10;1
250400.0;01-2013;F10;3
250400.0;02-2013;F10;2
250400.0;03-2013;F10;2
250400.0;03-2013;F19;1
250400.0;04-2013;F10;2
250400.0;05-2013;F10;3
250400.0;06-2013;F10;3
250400.0;07-2013;F10;2
250400.0;08-2013;F10;1
250400.0;10-2013;F10;1
250400.0;11-2013;F10;1
